,Theme,Action,Brief Description of Activity
287,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,Cleaned the surroundings planted trees.
146,Single-Use Plastic Reduced,Reuse glass containers/ packaging plastic items as storage boxes,"NSS Unit of Ramanujan College organized a session on the importance of reducing, reusing and recycling plastic waste"
347,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"IOCL Paradip Refinery Estate Office has installed â€˜Cloth bag vending machineâ€™ in front of Fruit shop in market complex, where user can dispense cloth bag at a nominal cost of Rs 10.  This will help in reducing consumption of single use plastic & plastic waste generated. Cloth bag will be dispensed by payment through cash, coins & scanning QR code also."
54,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"HFRI organized an event on theme ""Single Use Plastic Reduced"" at Jawahar Navodaya Vidyalaya, Kothipura, Bilaspur, HP on 15th February, 2023. "
353,Single-Use Plastic Reduced,Use menstrual cups instead of sanitary napkins,test the flow
519,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,Talk and presentations on the SDGs to be organized in collaboration with Local sustainable focused groups.
202,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,BPCL Retail Outlets (Southern Region) - January-2023.
83,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Nukkad natak  conducted at COCO Vytilla,Ernakulam in order to educate customers at retail outlet regarding use of single use plastic."
548,Single-Use Plastic Reduced,Participate in and mobilize participation for clean-up drives of cities and water bodies,"IOCL Paradip Refinery organised an event of â€œPloggingâ€ primarily of the plastic wastes at Mahanadi River Estuary, Paradip, Odisha for conserving the beaches and water bodies. A good span of the beach area was cleaned during the event and trash collected was sent for disposal through authorised recyclers and Paradip Municipality. After the Plogging event, a tree plantation drive of native species was also carried out in the adjoining coastal area."
124,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,#SayNoToSUP
92,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,#SayNoToPlasticCarryBags
219,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL Retail Outlets (Eastern Region) - February-2023.
252,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL is registered as Brand Owner with Central Pollution Control Board (CPCB) under Plastic waste management rule for EPR. BPCL has collected and processed approx. 350 Metric Tonne of plastic waste in the month of February-2023 under EPR. 
238,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL Retail Outlets (Western Region) - February-2023.
129,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events,#SayNoToSUP
183,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,40 no. of Jute bags were distributed among village people in karnawas panchayat area by officers of IOCL Rewari Terminal. 
182,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,40 no. of Jute bags were distributed among village people in karnawas panchayat area by officers of IOCL Rewari Terminal. 
251,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL is registered as Brand Owner with Central Pollution Control Board (CPCB) under Plastic waste management rule for EPR. BPCL has collected and processed approx. 400 Metric Tonne of plastic waste in the month of January-2023 under EPR. 
349,Sustainable Food Systems Adopted,Create kitchen gardens/ terrace gardens at homes/ schools/ offices,test test test test test 
516,Sustainable Food Systems Adopted,Compost food waste at home,Healthy Lifestyle â€“ To practice an efficient waste management at home by properly segregating kitchen waste. #MissionLiFE
296,Sustainable Food Systems Adopted,"Include millets in diets through Anganwadi, Mid-Day meal and PD scheme","Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
387,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","Presentation on â€œSustainable living choices â€“ How individuals can respond to the climate challenge"" made by Ms Lubomira Kolcheva - Director of the Bulgarian Environmental Partnership Foundation. "
390,Waste Reduced (Swachhata Actions),Start biodiversity conservation at community level,The Embassy organized a cleanliness drive as part of ongoing #missionlife campaign. 
342,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"Culmination of Navratris is observed with immersion of holy Sakh in running water as a sign of devotion to Goddess. This is popularly known as â€œSakh Visarjanâ€ and is traditionally done on Ashtami and Navmi or the last two days of Navratris. Visarjan of Sakh in holy Rivers / Canals, is thus, a popular event during the last two days of Navratris. During Sakh Visarjan, thousands of devotees throng Rivers to immerse the holy sakh along with every other Puja item, viz., chunri, havan samagri, flowers, old pictures and idols of gods / goddesses etc., lying with them since long."
179,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Workshop cum Quiz was conducted at Paradip Refinery Township on the topic â€œWaste Management, Water Conservation and Energy Conservationâ€. Township ladies and children participated in this workshop. Lectures were given by professionals in the above mentioned fields. Various topics were covered on waste management techniques, water and energy conservation. Quiz was conducted on these topics ans prizes were distributed. Bio composting methods were demonstrated with demo models, which can be implemented at home for effective composting."
411,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",Post Event Report of Proposed Outreach Activities by NRCD for Mass Mobilization for Mission LiFE 
178,Waste Reduced (Swachhata Actions),Set printer default to double-side printing,Mathura Refinery set printer default setting of employees to double side so that extra waste paper generation can be reduced. Using of single side print will be done in case of extreme requirement by changing indivisual setting 
177,Waste Reduced (Swachhata Actions),Set printer default to double-side printing,Mathura Refinery set printer default setting of employees to double side so that extra waste paper generation can be reduced. Using of single side print will be done in case of extreme requirement by changing indivisual setting 
51,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)","Lecture on convert plants residue to compost By Shri R. K. Gupta, CTO, AFRI, Jodhpur"
513,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","As a part of World environment day 2023 and Mission LiFE program, awareness programme was organized at Indane bottling plant, Cochin - Nadaakkavu Po. On 5th and 6th of June,2023.  The programme was conducted with a theme â€œSolution to Plastic Pollutionâ€ with an aim of promoting reduce, reuse and recycle. Programme was inaugurated by Plant Manger Smt. Remya Kenguva, DGM(Plant). After that importance of Environment, theme of WED-2023 and Mission LiFE were briefed to the gathering by Plant Manager. DSO Mr. Sreejith  K administered pledge to all the people.  As  a part of the program Sapling was also planted. Sapling and seed balls distributed to all who gathered. More than 150 saplings were distributed in the event. "
515,Waste Reduced (Swachhata Actions),"Recycle and reuse old newspapers, magazines",Letâ€™s protect our Environment! Follow #MissionLiFE - Recycle and re-use paper scraps.
512,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture","As a part of World environment day 2023 and Mission LiFE program, awareness programme was organized at Indane bottling plant, Cochin - Nadaakkavu Po. On 5th and 6th of June,2023.  The programme was conducted with a theme â€œSolution to Plastic Pollutionâ€ with an aim of promoting reduce, reuse and recycle. Programme was inaugurated by Plant Manger Smt. Remya Kenguva, DGM(Plant). After that importance of Environment, theme of WED-2023 and Mission LiFE were briefed to the gathering by Plant Manager. DSO Mr. Sreejith  K administered pledge to all the people.  As  a part of the program Sapling was also planted. Sapling and seed balls distributed to all who gathered. More than 150 saplings were distributed in the event. "
511,Waste Reduced (Swachhata Actions),"Use agricultural residue, animal waste for composting, manuring and mulching","As a part of World environment day 2023 and Mission LiFE program, awareness programme was organized at Indane bottling plant, Cochin - Nadaakkavu Po. On 5th and 6th of June,2023.  The programme was conducted with a theme â€œSolution to Plastic Pollutionâ€ with an aim of promoting reduce, reuse and recycle. Programme was inaugurated by Plant Manger Smt. Remya Kenguva, DGM(Plant). After that importance of Environment, theme of WED-2023 and Mission LiFE were briefed to the gathering by Plant Manager. Following inauguration pledge was administered to all the people.  As a part of the program Sapling was also planted. As a first time initiative planting was carried out in waste drums.  Sapling and seed balls distribution was arranged, more than 150 saplings were distributed in the event. "
503,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"High Commission of India in Victoria, Seychelles conducted a beach cleaning drive with a number of volunteers on the occasion of World Environment Day, 5th June, 2023. The beach selected was Beau Vallon Beach the most popular beach in Seychelles. Pieces of plastic, cups, bottles, cans were collected from the beach and appropriately discarded  by a community of volunteers. "
351,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",test the flow
180,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Workshop cum Quiz was conducted at Paradip Refinery Township on the topic â€œWaste Management, Water Conservation and Energy Conservationâ€. Township ladies and children participated in this workshop. Lectures were given by professionals in the above mentioned fields. Various topics were covered on waste management techniques, water and energy conservation. Quiz was conducted on these topics ans prizes were distributed. Bio composting methods were demonstrated with demo models, which can be implemented at home for effective composting."
22,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH Mysore, @NMNHIndia - @moefcc organised Green Talk/interaction on #Mission LiFE - Lifestyle for Environment on 09th March 2023 in which 153 students and general public participated #ChooseLiFE #ProPlanetPeople"
19,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,"RMNH Mysore, @NMNHIndia- @moefcc organised Green Talk/interaction on #Mission LiFE - Lifestyle for Environment on 12th March 2023 in which 248 students and general public participated #ChooseLiFE #ProPlanetPeople"
23,Water Saved,Adopt cultivation of less water intensive crops like millets,"RMNH Mysore, NMNH - MoEFCC organised Green Talk/interaction on #Mission LiFE - #Lifestyle for Environment# on 08th March 2023 in which 216 students and general public participated #ChooseLiFE"
142,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 23rd March, 2023 #ChooseLiFE #ProPlanetPeople"
137,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 22nd March, 2023 #ChooseLiFE #ProPlanetPeople"
374,Water Saved,Reuse water from washed vegetables to water plants and other purpose,à¤¹à¤®à¤¾à¤°à¥€ à¤¨à¤¦à¤¿à¤¯à¥‹à¤‚ à¤”à¤° à¤ªà¥à¤°à¤¾à¤•à¥ƒà¤¤à¤¿à¤• à¤œà¤² à¤¸à¥à¤°à¥‹à¤¤à¥‹à¤‚ à¤•à¥‡ à¤¸à¤‚à¤°à¤•à¥à¤·à¤£ à¤”à¤° à¤¸à¤«à¤¾à¤ˆ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¤¨ à¤œà¤¾à¤—à¤°à¥‚à¤•à¤¤à¤¾ à¤”à¤° à¤¸à¤¾à¤°à¥à¤µà¤œà¤¨à¤¿à¤• à¤­à¤¾à¤—à¥€à¤¦à¤¾à¤°à¥€ à¤•à¥‡ à¤²à¤¿à¤ à¤à¤¨à¤†à¤°à¤¸à¥€à¤¡à¥€ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤ªà¥à¤°à¤¸à¥à¤¤à¤¾à¤µà¤¿à¤¤ à¤†à¤‰à¤Ÿà¤°à¥€à¤š à¤—à¤¤à¤¿à¤µà¤¿à¤§à¤¿à¤¯à¥‹à¤‚ à¤¸à¥‡ à¤¸à¤‚à¤¬à¤‚à¤§à¤¿à¤¤ à¤•à¤¾à¤°à¥à¤¯à¤•à¥à¤°à¤® à¤•à¥€ à¤°à¤¿à¤ªà¥‹à¤°à¥à¤Ÿ
39,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk,Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission  on 14th March, 2023 for 185 beneficiaries."
21,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH Mysore, @NMNHIndia - @moefcc organised Green Talk/interaction on #Mission LiFE - Lifestyle for Environment on 10th March 2023 in which 112 students and general public participated #ChooseLiFE #ProPlanetPeople"
20,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH Mysore, @NMNHIndia - @moefcc organised Green Talk/interaction on #Mission LiFE - Lifestyle for Environment on 11th March 2023 in which 182 students and general public participated #ChooseLiFE #ProPlanetPeople"
147,Water Saved,Reuse water from washed vegetables to water plants and other purpose,Water is essential! Save it now.
138,Water Saved,"Fix leaks in flushes, taps and waterpipes",#à¤ªà¤¾à¤¨à¥€à¤¬à¤šà¤¾à¤à¤‚ 
132,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",#SaveWater 
119,Water Saved,"Fix leaks in flushes, taps and waterpipes",#SaveWater 
18,Water Saved,Adopt cultivation of less water intensive crops like millets,kjhure
333,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 4th April, 2023 #ChooseLiFE #ProPlanetPeople"
348,Water Saved,Practice crop diversification. Move from rice & wheat cultivation to pulse & oil seed cropping system.,GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt GTSEt 
273,Water Saved,"Fix leaks in flushes, taps and waterpipes","IOCL- DIGBOI REFINERY has put up the display of LiFE standee on various themes of Save Water at different locations of refinery installations ( Refinery Main Gate, Bazar Gate,CPP Building Entrance,Technical Building,Admin Ofice ( HR Building, Entrance Gate), ETP,NTF) and township (Hospital, Guest House, Clubs). Then  IOCL- DIGBOI REFINERY has senstize the working personnel around this places regarding the concept of Mission LiFE . Total 10 Numbers of standees on five different themes on Save Water has been displayed."
57,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission  on 16th March, 2023 for 180  beneficiaries."
270,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","BPCL developed creatives on seven themes of Mission LiFE. These creatives were posted on social media such as Twitter, Facebook, Linkedin, Instagram & Koo, which received huge response through likes, comments & shares."
166,Water Saved,"Reuse water drained out from AC/RO for cleaning utensils, watering plants and others","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 24th March, 2023 #ChooseLiFE #ProPlanetPeople"
167,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 25th March, 2023 #ChooseLiFE #ProPlanetPeople"
168,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 25th March, 2023 #ChooseLiFE #ProPlanetPeople"
243,Water Saved,"Fix leaks in flushes, taps and waterpipes","Banners on saving water was p1aced at 20 Retail Outlets under Coimbatore DO, IOCL. The customers were given phamplets and sensitised on saving water."
233,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",BPCL Retail Outlets (Southern Region) - February-2023.
66,Water Saved,Participate in recharge of rural water bodies through Amrit Sarovar Scheme,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 17th March, 2023 for (62 In service teachers from Institute of Advanced Study in Education, Bhopal and 210 general visitors of museum) 272 beneficiaries."
169,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 26th March, 2023 #ChooseLiFE #ProPlanetPeople"
80,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 18th March, 2023 for (140 Students of Siddharth Excellence School, Bhopal and 364 general visitors of museum) 504 beneficiaries."
85,Water Saved,Participate in recharge of rural water bodies through Amrit Sarovar Scheme,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 19th March, 2023 for 230 beneficiaries."
188,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL Retail Outlets (Eastern Region) - January-2023.
91,Water Saved,Adopt cultivation of less water intensive crops like millets,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 21st March, 2023 #ChooseLiFE #ProPlanetPeople"
185,Water Saved,Adopt cultivation of less water intensive crops like millets,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 28th March, 2023 #ChooseLiFE #ProPlanetPeople"
55,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",Taps with Water Saver Nozzle were replaced to save water in admin block of IWST
47,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk,Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission  on 15th March, 2023 for 225 beneficiaries."
288,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 30th March, 2023 #ChooseLiFE #ProPlanetPeople"
290,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 05th April, 2023 #ChooseLiFE #ProPlanetPeople"
341,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 16th April, 2023. #ChooseLiFE #ProPlanetPeople"
340,Water Saved,Prefer a water purification system that wastes less water,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 15th April, 2023. #ChooseLiFE #ProPlanetPeople"
339,Water Saved,"Reuse water drained out from AC/RO for cleaning utensils, watering plants and others","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th April, 2023. #ChooseLiFE #ProPlanetPeople"
338,Water Saved,Invest in a water meter for your house to measure water consumption regularly,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 13th April, 2023. #ChooseLiFE #ProPlanetPeople"
337,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 12th April, 2023 #ChooseLiFE #ProPlanetPeople"
336,Water Saved,"Fix leaks in flushes, taps and waterpipes","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Green pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 11th April, 2023 #ChooseLiFE #ProPlanetPeople"
335,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 09th April, 2023. #ChooseLiFE #ProPlanetPeople"
334,Water Saved,Do not discard unused stored water every time there is fresh water coming in taps,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 08th April, 2023. #ChooseLiFE #ProPlanetPeople"
332,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 02nd April, 2023 #ChooseLiFE #ProPlanetPeople"
331,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 01st April, 2023 #ChooseLiFE #ProPlanetPeople"
310,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
294,Water Saved,Pre-soak heavy pots and pans before washing them,Poster displayed and awareness created on Pre-soak heavy pots and pans before washing them among the canteen employees.
53,Water Saved,Adopt cultivation of less water intensive crops like millets,"HFRI organized an event on MissonLiFE theme ""Rainwater Harvesting"" at Kendriya Vidyalaya, Ghumarwin, Bilaspur, HP on 6th February, 2023."
292,Water Saved,Pre-soak heavy pots and pans before washing them,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 07th April, 2023. #ChooseLiFE #ProPlanetPeople"
291,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 06th April, 2023. #ChooseLiFE #ProPlanetPeople"
289,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 31st March, 2023 #ChooseLiFE #ProPlanetPeople"
286,Water Saved,Do not discard unused stored water every time there is fresh water coming in taps,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 29th March, 2023 #ChooseLiFE #ProPlanetPeople"
